,bikeid
104166,29264
104246,26610
104261,25100
104285,21610
104327,29480
104342,29652
104372,27692
104388,29120
104412,29304
104489,32259
104494,29500
104526,29261
104546,31998
104572,29462
104574,29537
104582,32914
104591,27952
104638,29441
104689,32062
104718,26425
104772,29207
104784,29123
104883,33060
104974,15582
104989,29665
105006,29300
105470,29459
105596,29233
106654,29594
108798,15670
110484,27204
111174,29291
112221,33097
115317,29254
118317,21513
128549,21310
132251,19886
144084,29657
144231,18249
144260,26082
144353,25738
144374,20694
144570,31326
144584,29216
144599,27443
144693,19366
145217,25524
145238,18570
145255,19239
145424,25176
145569,33006
145592,32225
145643,27558
145724,16528
149140,19473
150564,20941
159993,29791
184616,18232
186410,33074
187060,29567
187069,20727
187469,30842
187509,16803
187679,26734
187879,30560
187936,27743
187946,27226
188109,15114
188333,33442
190125,15444
191742,32750
191748,18825
191801,20654
198068,21460
202983,28547
230637,32077
230638,16590
230745,28025
230846,25659
231059,32692
231435,26961
231447,32831
231449,27083
231463,32906
231543,24892
231593,14977
231776,19572
231970,26706
232085,27686
232115,31058
232129,26618
232219,21326
232376,31404
232581,28795
232679,14991
233353,34354
233369,21491
234296,18729
237030,18372
240183,16218
240404,16768
269639,15302
269713,30013
269978,28164
270087,14793
270150,32116
270220,33840
270302,33814
270306,32019
270377,27822
270662,18968
270690,27956
271098,34676
271153,35009
271179,16296
271407,24934
271424,26036
271482,29008
275647,26736
279862,26832
280236,28159
280376,14956
295094,34155
308725,34664
308806,30843
309053,33781
309642,15854
309760,32427
309761,31443
309915,33744
310461,15947
313671,14697
315390,20783
334431,34791
336362,17260
348449,17348
